Price,Close,High,Low,Open,Volume
Ticker,034730.KS,034730.KS,034730.KS,034730.KS,034730.KS
Date,,,,,
2024-02-27,179962.453125,183649.01550707547,176178.87594339624,183163.94150943396,253583
2024-02-28,187820.65625,189954.98188920456,178119.17607179753,179962.457305656,205607
2024-02-29,186074.375,190828.09990875912,183163.93117831074,188693.77443952032,372756
2024-03-04,187432.578125,188693.77042087214,184328.1047813147,186656.45978907865,162199
2024-03-05,187238.5625,193156.4652525907,185492.29611398964,185589.31091321245,204672
2024-03-06,183746.03125,187238.56405095037,181708.7204494456,187044.53445089757,171256
2024-03-07,186171.40625,189760.95394736843,182193.79934210525,184522.15460526315,162483
2024-03-08,184037.078125,188887.81819155245,183066.93011168952,187626.62577424882,117141
2024-03-11,178895.296875,183843.05183195497,178604.25246576735,182096.7853765591,124410
2024-03-12,175014.6875,180641.5455238359,172977.37683619733,180641.5455238359,254731
2024-03-13,173850.515625,175887.82635498047,172977.38245500837,175596.78196498324,185342
2024-03-14,183260.953125,185686.32307106935,174820.66571267866,175014.69530836423,313186
2024-03-15,181708.71875,186947.51790242927,181417.67435264282,183260.95553590497,204573
2024-03-18,178701.25,183649.00447882735,178216.1760314875,183649.00447882735,102543
2024-03-19,177246.03125,179768.41593117133,176857.97206828135,176954.986863711,99398
2024-03-20,177537.078125,181126.62560621585,177440.06332821038,179477.37406079235,92703
2024-03-21,185298.265625,185783.33961878272,179283.34810209426,181126.6292784686,196151
2024-03-22,185492.296875,190731.09605452404,183357.97128334205,183357.97128334205,138851
2024-03-25,182290.796875,186850.49216671102,181902.73770123738,185783.32943886376,84198
2024-03-26,182775.875,185977.36325636943,182581.8454087049,184328.11173036092,95394
2024-03-27,179671.40625,183260.95378307236,179574.39145180886,180932.5986264849,92587
2024-03-28,177149.015625,181611.69619386637,177149.015625,180447.5186541621,117312
2024-03-29,176654.46875,180215.25311450168,176357.73671962487,179028.32499300112,157851
2024-04-01,175071.90625,178039.22669491527,172500.22853107346,177940.31601341808,184373
2024-04-02,176061.0,176753.37471910112,173192.5904494382,173291.5011235955,108193
2024-04-03,173588.234375,175764.2692218661,172500.21695156695,174676.25179843305,121539
2024-04-04,177247.9375,179621.79380580355,174478.4384765625,175863.18798828125,133828
2024-04-05,173786.0625,177247.93625498007,173489.33046385885,174577.34792970974,81260
2024-04-08,169829.640625,173786.0678964036,169137.26585250435,173291.51448747815,132535
2024-04-09,164884.09375,170818.73419691063,164389.5403794241,170027.44880398922,152537
2024-04-11,160828.765625,162708.06854435732,158454.9093058118,159740.74814537208,239818
2024-04-12,159641.828125,161817.8629569393,157366.88261888167,159246.18542828376,124502
2024-04-15,163103.703125,165081.91662560642,157762.52667336265,158850.54409869618,99908
2024-04-16,158257.078125,162015.68373046874,158059.25677734375,161224.39833984376,118532
2024-04-17,155289.765625,160630.94227707008,154696.30155254778,158355.9966660032,217062
2024-04-18,155091.9375,157663.61503507654,154597.38412786988,155289.75884885204,113415
2024-04-19,153806.109375,155784.32300040193,151728.98506832798,153410.46664991963,118931
2024-04-22,160334.203125,162708.05930945402,154894.11603562615,157070.1508713757,150373
2024-04-23,158949.453125,162213.50536714375,158949.453125,161916.7733451307,82638
2024-04-24,160235.296875,162411.33177083332,159740.74348958334,160729.85026041666,97195
2024-04-25,159542.921875,163796.08098264106,158553.81510578116,158652.72578270303,99545
2024-04-26,161620.046875,162708.0643264229,158652.7265529376,160433.11874617502,56165
2024-04-29,167060.140625,167950.33675621668,162609.1599689165,166664.4979000148,112819
2024-04-30,164191.71875,167653.5923381024,164191.71875,165576.46818524096,113834
2024-05-02,160235.296875,164686.27734375,159147.27942708333,163004.79583333334,107561
2024-05-03,158751.640625,160927.67557437695,158454.9085864486,160828.7648948598,93507
2024-05-07,163103.703125,163103.703125,158652.72274863554,160037.47219906002,122740
2024-05-08,163004.796875,163894.9929744387,161224.40467612256,163400.43958586166,72644
2024-05-09,158257.078125,163202.61181640625,158257.078125,163004.79046875,151160
2024-05-10,161718.953125,162213.50649847096,159641.82895642202,159740.73963111622,80778
2024-05-13,160037.46875,162312.4142266687,159345.0940397095,162312.4142266687,74390
2024-05-14,161026.578125,161521.1314976198,159740.73935618857,160433.11407785627,78090
2024-05-16,161620.046875,164983.00990667075,161323.31484279374,163103.7070360312,130682
2024-05-17,155190.859375,162015.69640296366,155190.859375,161323.32163201083,256782
2024-05-20,154597.390625,156773.42555382277,153707.1945177543,155091.94401791427,120933
2024-05-21,149750.765625,154201.74610923053,149256.21223786328,153410.46068981176,200165
2024-05-22,149849.671875,151135.51064356434,148959.47580445543,149849.671875,115261
2024-05-23,148464.921875,150344.2246835443,147970.36850433046,148860.56457153565,155096
2024-05-24,147179.09375,149849.68214465727,146882.3617061492,147673.647156418,126956
2024-05-27,148662.75,149157.30339321357,147278.000499002,147278.000499002,89644
2024-05-28,147376.90625,149157.29840604027,146981.26354865773,148662.7450293624,122461
2024-05-29,143123.75,147772.55183137525,142827.01796821007,146486.71302695232,273090
2024-05-30,156377.78125,165873.20629743833,141640.0902909551,141739.00096853258,1335950
2024-05-31,174280.609375,178929.41110066685,155289.7597722758,162708.06039833996,3630128
2024-06-03,176852.296875,190798.7028366191,174082.79781879194,174280.61917994966,2907456
2024-06-04,164290.640625,176357.74366909993,164290.640625,173489.33392910898,1050117
2024-06-05,162213.515625,169137.26324314025,159740.74861852135,166565.58555640245,548064
2024-06-07,180017.4375,184270.59673763736,164587.37142857144,164587.37142857144,1847930
2024-06-10,186545.53125,192579.08236678157,178237.03463016968,182292.37226603925,1615800
2024-06-11,179423.96875,193568.19561397465,179226.1473952591,189216.12580967476,824979
2024-06-12,186248.8125,189315.04361391396,178138.1366502921,180314.17163436007,669143
2024-06-13,181303.265625,189809.58359758594,181303.265625,184962.96056669395,542803
2024-06-14,175368.625,183776.0322899041,169433.98456006768,181303.26543993232,443251
2024-06-17,174972.984375,179522.87543280103,169038.34386482477,174181.6989736433,460220
2024-06-18,167159.046875,176258.82930843194,165279.74398113904,173093.68759245562,594896
2024-06-19,165279.734375,169038.33994426992,164191.71697336924,167554.67985113704,319033
2024-06-20,158751.640625,165081.9241140966,155190.8561623832,163301.53188278817,910380
2024-06-21,158751.640625,161422.2289719626,156377.78431658878,156773.42703465733,438289
2024-06-24,156278.875,159444.0167721519,156278.875,157861.44588607596,205803
2024-06-25,153410.453125,158158.16540739845,153113.72110735008,156971.23733679883,233288
2024-06-26,153509.375,154399.57111791236,151926.80412371134,153410.46432023196,154613
2024-06-27,150443.140625,153212.63959771532,149157.3018162393,152520.26485453648,210959
2024-06-28,156575.609375,158257.09096651926,151432.25391858813,151926.8073278585,300000
2024-07-01,155091.9375,157663.61503507654,153905.00940688775,156674.50829081633,131680
2024-07-02,151234.421875,155091.93819489863,150937.6898503924,154003.92077133746,141361
2024-07-03,151531.15625,154300.65518929504,151036.60286798305,151827.8882792102,109647
2024-07-04,152718.09375,154201.75398720853,149948.59464054403,152025.718972636,144169
2024-07-05,153311.546875,157169.06321572582,152223.52944556452,152718.08282258065,221973
2024-07-08,153608.28125,155190.85208065037,151827.88906551836,152915.90651159047,114424
2024-07-09,155784.3125,158355.99003968254,154201.74170634922,154300.65238095238,161526
2024-07-10,151827.890625,155685.40706433225,151827.890625,155091.94299674267,160079
2024-07-11,152322.4375,153707.18693181817,151630.0627840909,153311.54423701297,178467
2024-07-12,153410.453125,153806.09581519986,151432.23967400065,152718.07841715022,98955
2024-07-15,152817.0,155091.94563106797,152322.44660194175,154102.83883495146,109493
2024-07-16,155487.578125,159147.27302997775,153212.63264352735,153608.27533595738,296499
2024-07-17,154201.75,156971.24903784477,151630.07232200127,156278.87427838356,299203
2024-07-18,147871.46875,157861.44757525084,146981.27261705685,157663.62621237457,510608
2024-07-19,148366.015625,148761.65833333333,146189.98072916665,146981.26614583333,163209
2024-07-22,144706.328125,148366.0233680793,144706.328125,148366.0233680793,176900
2024-07-23,144310.671875,147772.54542923236,144310.671875,145003.04658584646,199480
2024-07-24,142233.546875,146189.97376999306,141046.61880650208,143915.02830537205,205553
2024-07-25,143123.75,144706.32083621284,140453.1617138908,141145.53645473393,130813
2024-07-26,147772.546875,147772.546875,142629.1918298193,143915.03059111445,147924
2024-07-29,145992.15625,147970.36974932248,144706.31747544036,146387.7989498645,125304
2024-07-30,145101.96875,145992.16487730062,143717.2192186435,145200.87943081118,104633
2024-07-31,148267.109375,148267.109375,144409.59285356905,145200.87829386257,99728
2024-08-01,148366.015625,148366.015625,145695.42734375,146882.35546875,121149
2024-08-02,143321.578125,146387.80926501035,141936.82857789856,146387.80926501035,164927
2024-08-05,129869.71875,141442.26794554456,127001.30912033512,140848.80388423457,347328
2024-08-06,136101.09375,138870.59275072673,131254.4704987282,131452.29185592296,239393
2024-08-07,133430.5,136397.82023721276,132738.1252779837,135111.98146775388,196849
2024-08-08,135210.890625,135705.44399231896,130562.0889722019,132144.65974762253,216062
2024-08-09,135210.890625,136892.3720738844,134221.7838903621,136298.90803310167,97012
2024-08-12,136200.0,136200.0,134716.33986928104,135111.98257080608,97446
2024-08-13,138300.0,138600.0,136000.0,136700.0,92620
2024-08-14,138200.0,139300.0,137100.0,138500.0,77811
2024-08-16,138500.0,141400.0,138500.0,139800.0,74842
2024-08-19,138300.0,139700.0,137500.0,138600.0,60210
2024-08-20,138800.0,142400.0,138300.0,139100.0,104268
2024-08-21,140000.0,141200.0,137800.0,139500.0,71972
2024-08-22,142000.0,143000.0,139400.0,140000.0,102128
2024-08-23,141800.0,142800.0,139800.0,141500.0,72166
2024-08-26,144000.0,144300.0,141000.0,141900.0,110147
2024-08-27,146200.0,147700.0,143000.0,144500.0,118393
2024-08-28,142600.0,147000.0,142200.0,146300.0,88521
2024-08-29,144400.0,146000.0,141100.0,142500.0,100298
2024-08-30,143200.0,146100.0,143200.0,145800.0,198422
2024-09-02,143000.0,144200.0,142200.0,143600.0,75979
2024-09-03,147400.0,148300.0,142700.0,143100.0,217099
2024-09-04,141000.0,143900.0,140700.0,143800.0,164581
2024-09-05,142300.0,144200.0,140600.0,141300.0,80094
2024-09-06,140900.0,143500.0,140000.0,142700.0,92661
2024-09-09,137600.0,138200.0,134200.0,137800.0,176047
2024-09-10,141300.0,144800.0,137600.0,138000.0,155905
2024-09-11,144000.0,145000.0,140500.0,141600.0,141630
2024-09-12,144300.0,145000.0,142800.0,145000.0,189101
2024-09-13,147900.0,148200.0,144000.0,144400.0,132867
2024-09-19,149600.0,149600.0,146000.0,149000.0,166135
2024-09-20,154000.0,156700.0,147500.0,149600.0,507998
2024-09-23,154300.0,156600.0,153600.0,155400.0,131903
2024-09-24,155800.0,157700.0,153600.0,155100.0,148211
2024-09-25,151500.0,156900.0,151500.0,156800.0,185625
2024-09-26,156300.0,156300.0,152100.0,153000.0,132875
2024-09-27,155000.0,157600.0,154300.0,156300.0,75999
2024-09-30,153200.0,158400.0,153200.0,157000.0,96631
2024-10-02,150900.0,152600.0,149500.0,151000.0,129303
2024-10-04,151100.0,153500.0,149000.0,152000.0,123981
2024-10-07,153300.0,155500.0,149600.0,150500.0,100850
2024-10-08,150600.0,153200.0,150200.0,153200.0,78357
2024-10-10,152300.0,155500.0,152300.0,152700.0,146379
2024-10-11,151500.0,155300.0,151200.0,154700.0,102433
2024-10-14,153100.0,154000.0,150800.0,151400.0,103613
2024-10-15,152400.0,153900.0,151500.0,151900.0,119757
2024-10-16,148800.0,151800.0,146100.0,151000.0,164051
2024-10-17,147000.0,150600.0,147000.0,150600.0,82699
2024-10-18,148100.0,150400.0,147700.0,148000.0,85893
2024-10-21,146500.0,149700.0,146000.0,149100.0,82915
2024-10-22,146200.0,148000.0,145500.0,145500.0,72670
2024-10-23,147000.0,148800.0,145900.0,147300.0,71050
2024-10-24,145500.0,147500.0,145200.0,147000.0,74791
2024-10-25,148600.0,150300.0,145300.0,146000.0,111579
2024-10-28,150300.0,150700.0,147600.0,149000.0,92276
2024-10-29,151600.0,156600.0,151000.0,152000.0,147084
2024-10-30,149400.0,152800.0,148600.0,152800.0,101109
2024-10-31,148200.0,150200.0,147300.0,150200.0,87779
2024-11-01,149000.0,149200.0,146500.0,146800.0,66144
2024-11-04,150100.0,150100.0,146300.0,148400.0,83881
2024-11-05,152100.0,152700.0,148400.0,148400.0,96836
2024-11-06,149000.0,152400.0,148400.0,151500.0,78399
2024-11-07,146100.0,148600.0,144500.0,147300.0,105131
2024-11-08,150900.0,153200.0,148000.0,148000.0,125547
2024-11-11,146200.0,149400.0,145300.0,148300.0,128548
2024-11-12,143300.0,146700.0,141600.0,145000.0,119033
2024-11-13,139200.0,142500.0,138000.0,141500.0,117405
2024-11-14,138400.0,140000.0,137100.0,139200.0,107713
