course_id,auth,academy_name,region,course_name,start_date,end_date,tr_date,total_hour,employment_rate,price_total,self_payment
1,훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,한 번에 합격하는 정보처리기사 필기,20250123,20250222,,21,해당없음,62370,21830
2,훈련기관 3년 인증,러닝팩토리 원격평생교육원,서울 서초구,[상위1% 프로그래밍] Windows System Programming 시작을 위한 넓고 얕은 지식,20250123,20250222,,17,해당없음,50490,17680
3,우수훈련기관 5년 인증,양정인력개발센터,부산 부산진구,빅데이터·생성형AI 활용 디지털 헬스케어 솔루션 개발,20250123,20250609,90,720,해당없음,6196320,0
4,우수훈련기관 5년 인증,이젠아카데미컴퓨터학원,인천 남동구,"(산대특)피그마 활용 웹 UI/UX설계 및 디자인(기획,설계,포트폴리오)",20250123,20250213,12,90,해당없음,774540,0
5,우수훈련기관 5년 인증,두드림컴퓨터아카데미,경기 용인시 기흥구,AWS 클라우드 활용 풀스택+RPA 자동화 솔루션 개발 과정,20250123,20250717,119,950,62.2,9003150,0
6,우수훈련기관 5년 인증,주식회사 이젠컴퓨터아카데미,서울 노원구,"클라우드기반 AI Automation 스마트관리시스템(물류관리,생산관리)자바 백엔드개발",20250123,20250718,120,960,52,9097920,0
7,우수훈련기관 5년 인증,라인컴퓨터아트학원,경기 안산시 단원구,(K-DIGITAL)기업요구 생성형 AI를 활용한 개발자 양성 과정,20250123,20250724,124,986,69.2,9360090,0
8,우수훈련기관 5년 인증,주식회사 이젠컴퓨터아카데미,서울 노원구,"기업의 업무 자동화(RPA, 챗GPT) 플랫폼(JAVA, Spring) 개발",20250123,20250718,119,950,52,9018350,0
9,우수훈련기관 5년 인증,안산 그린컴퓨터아카데미,경기 안산시 단원구,"AI프로젝트 풀스택(Java, Python, React) 딥러닝(자연어처리) 개발자 양성과정",20250123,20250814,138,1100,54.5,10442300,0
10,우수훈련기관 5년 인증,주식회사 이젠컴퓨터아카데미,서울 노원구,AI기반 예측 분석 시스템개발,20250123,20250718,120,960,52,9113280,0
11,훈련기관 3년 인증,(주)세종교육,경기 성남시 수정구,"융합_[ ESG ] AIoT를 활용한 스마트 환경공정제어 자동화시스템 구축 (MES, ERP, PLC)",20250123,20250819,139,1110,해당없음,20146500,0
12,우수훈련기관 5년 인증,더조은컴퓨터아카데미 종로,서울 종로구,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,20250123,20250801,130,1040,50,9872720,0
13,우수훈련기관 5년 인증,라인컴퓨터아트학원,경기 안산시 단원구,자바(Spring)기반 크로스 플랫폼(React-Native) 웹&앱 개발자 양성 과정,20250123,20250728,124,992,69.2,9417050,0
14,훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,파이썬 3 핵심 바이블,20250123,20250222,,18,해당없음,53460,18720
15,훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,한번에 합격하는 정보처리기사 실기,20250123,20250222,,25,해당없음,74250,25990
16,훈련기관 3년 인증,러닝팩토리 원격평생교육원,서울 서초구,한 번에 합격하는 정보처리기사 필기,20250123,20250222,,21,해당없음,62370,21830
17,훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,비전공자도 쉽게 배우는 웹개발 종합반,20250124,20250222,,22,해당없음,65340,22870
18,훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,[상위1% 파이썬 웹 ] Django를 이용한 웹 애플리케이션 작성,20250124,20250222,,21,해당없음,62370,21830
19,훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,"왕초보를 위한 프론트엔드 개발자 첫걸음 : 기초 코딩, 리액트, 취업 가이드까지 한 번에!",20250124,20250222,,16,해당없음,47520,16640
20,훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,코딩 왕초보를 위한 웹개발 챌린지 : 프론트부터 백엔드까지 쉽고 빠르게!,20250124,20250222,,16,해당없음,47520,16640
21,훈련기관 3년 인증,(사)한국디지털컨버전스협회,서울 영등포구,쉽게 배우는 자바스크립트(JavaScript) 프로그래밍,20250206,20250402,,61,39.4,181170,63410
22,훈련기관 3년 인증,(주)세종교육,경기 성남시 수정구,[인공지능]AIoT를 이용한 빅데이터 분석 산업솔루션 개발 취업연계 부트캠프,20250123,20250814,137,1090,해당없음,10329930,0
23,우수훈련기관 5년 인증,(주)글로벌아카데미(구.글로벌직업전문학교),경기 화성시,심화_LowCode 기반의 AI융합 스마트관리시스템 개발 심화과정,20250123,20250326,40,320,77.3,4673920,0
24,우수훈련기관 5년 인증,더조은컴퓨터아카데미 종로,서울 종로구,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",20250123,20250903,151,1206,50,11448550,0
25,우수훈련기관 5년 인증,(주)솔데스크,서울 종로구,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,20250123,20250721,120,960,62.5,9113280,0
26,훈련기관 3년 인증,(주)세종교육,경기 성남시 수정구,"[ 로봇 ] AI 영상기법을 활용한 실용적인 산업화 자율주행, 서비스 협동로봇 개발자 과정 (라이다, 뎁스카메라) ",20250123,20250801,128,1020,해당없음,9732840,0
27,우수훈련기관 5년 인증,(주)이젠컴퓨터아카데미안산,경기 안산시 상록구,"생성형AI 기반 UX UI  디자인& 프론트엔드 개발 과정(ChatGPT, 일러 포토, 피그마, 자바스크립트, 리액트)",20250123,20250730,127,1014,86.7,9625900,0
28,훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,[상위1% 프로그래밍] Windows System Programming 시작을 위한 넓고 얕은 지식,20250123,20250222,,17,해당없음,50490,17680
29,우수훈련기관 5년 인증,에듀퓨어,경기 고양시 일산동구,모던 웹 개발을 위한 JAVA9 프로그래밍,20250203,20250304,,21,해당없음,62370,21830
30,,코드잇 평생교육원,서울 강남구,[스프린트 라이트] JavaScript 프로그래밍 기초,20250128,20250225,7,62,해당없음,500000,50000
31,,KH정보교육원 강남지원,서울 강남구,왕초보를 위한 C언어 핵심요점 정리에서 데이터 시각화까지,20250206,20250305,28,35,해당없음,280000,28000
32,훈련기관 3년 인증,러닝플러스 주식회사,부산 부산진구,HTML5 & JavaScript,20250123,20250222,,20,해당없음,59400,20790
33,훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,[상위1% 프로그래밍] Windows System Programming 시작을 위한 넓고 얕은 지식,20250124,20250222,,17,해당없음,71060,24880
34,훈련기관 3년 인증,사단법인 한국에듀테크산업협회,서울 강남구,COS PRO 2급 파이썬(전문코딩능력평가) ,20250206,20250305,28,29,39,86130,30150
35,훈련기관 3년 인증,사단법인 한국에듀테크산업협회,서울 강남구,HTML5 & JavaScript,20250206,20250305,28,20,39,59400,20790
36,훈련기관 3년 인증,한국이러닝협회,서울 구로구,"와우패스! 파이썬 입문, 기초부터 실전까지",20250123,20250219,28,25,해당없음,74250,25990
37,훈련기관 3년 인증,윈스펙원격평생교육원,서울 강남구,초보자도 쉽게 배우는 웹 개발 : Django와 SQL,20250124,20250222,,17,해당없음,50490,17680
38,훈련기관 3년 인증,한국이러닝협회,서울 구로구,쿠버네티스 기반 GitOps 구축하기,20250123,20250219,28,27,해당없음,80190,28070
