job_list_id,Company,Title,Link,Job,Location
1,(주)휴머스온,2025년도 휴머스온 대규모 채용 상반기 SW/Biz 공채 경력공채 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49593871&adsCategoryItem=effect_bold&,"데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발, 웹개발",서울 강남구
2,(주)풀무원,풀무원 각 부문 경력?신입 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49619144&adsCategoryItem=effect_bold&,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발",서울 강남구 외
3,청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49652286,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",서울 강남구 외
4,(주)그린카,2025 그린카 경력/신입 상시 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49655813,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",서울 강남구 외
5,(주)메타엠,[메타엠]AICC R&D실/개발실/A솔루션실 개발자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49460113,"데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드",서울 중구
6,(주)세종분석연구원,입찰분석연구원 외 각 부문별 신입 및 경력사원 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=46521833,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",서울 마포구 외
7,(주)지엠티,스마트 모빌리티 사업부 기술개발 소프트웨어 개발 경력자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49597483,"데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발, 프론트엔드",세종 세종특별자치시
8,지에스차지비(주),[GS차지비㈜] 하반기 각 부문 신입 및 경력 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49584563,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",서울 서초구 외
9,센시 주식회사,[센시] JAVA 기반 백엔드 /  프론트엔드 웹서비스 개발자 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49596139,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",서울 강남구
10,쿠도커뮤니케이션(주),[쿠도커뮤니케이션] DX사업부 개발자(IOS 서비스앱) 경력직 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49577921,"기술지원, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",경기 과천시
11,(주)테이아,(주)테이아 현대모비스 PLM 운영 경력직 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49533096,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",경기 과천시
